dataset,mse,mae
k3s,0.958,0.741
lodash,0.593,0.509
openzeppelin-contracts,1.062,0.838
redis,0.378,0.479
Motrix,0.112,0.176
pytorch,0.471,0.555
go-ethereum,1.017,0.798
youtube-dl,0.331,0.404
sails,3.789,0.782
framework,0.7,0.646
architecture-samples,5.705,1.716
vegeta,0.835,0.425
dayjs,1.079,0.801
flask,0.847,0.715
mermaid,30.499,3.693
next.js,1.847,0.986
Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,1.288,0.69
mpv,0.531,0.564
html2canvas,0.377,0.434
slate,0.229,0.368
underscore,0.68,0.499
polymer,0.197,0.215
guava,1.226,0.642
wtfjs,0.809,0.455
insomnia,0.616,0.616
croc,0.62,0.394
fucking-algorithm,128.181,4.803
fiber,2.52,1.291
react-native,24.365,3.906
element,0.385,0.441
swiper,0.207,0.317
strapi,0.722,0.578
minio,0.561,0.579
AnotherRedisDesktopManager,0.915,0.744
Rocket,0.155,0.259
GFPGAN,0.65,0.547
setup-ipsec-vpn,0.269,0.281
frp,0.446,0.535
awesome-interview-questions,0.324,0.26
fastjson,1.142,0.684
freeCodeCamp,2.28,1.181
traefik,1.557,0.965
swr,0.636,0.629
ccxt,0.867,0.737
go,1.238,0.794
vue,0.762,0.679
dapr,2.503,1.083
redash,0.505,0.506
starship,0.754,0.711
terraform,0.509,0.559
docusaurus,0.712,0.691
yapi,0.211,0.266
editor.js,0.811,0.595
what-happens-when,9.353,1.372
styleguide,3.163,0.902
glances,4.438,1.109
flameshot,0.575,0.618
carbon,0.213,0.344
puppeteer,1.235,0.885
gogs,4.684,1.482
docker_practice,0.876,0.491
express,0.726,0.579
YouCompleteMe,1.18,0.689
bypass-paywalls-chrome,0.001,0.011
pdf.js,0.725,0.589
devdocs,1.768,0.982
code-server,0.438,0.529
MonitorControl,0.253,0.35
Magisk,0.356,0.459
fzf,6.812,1.333
awesome-awesomeness,0.242,0.139
netdata,0.533,0.593
react-spring,1.696,0.813
n8n,2.79,1.364
sentry,0.725,0.711
poetry,4.194,1.617
yuzu,0.472,0.536
C-Plus-Plus,30.271,3.342
julia,1.667,1.004
nw.js,8.355,1.913
react-virtualized,0.329,0.286
elasticsearch,0.275,0.413
grafana,0.594,0.625
Leaflet,2.836,1.328
json,4.159,1.704
commander.js,1.089,0.742
tidb,0.853,0.743
php-src,0.658,0.634
lazygit,0.734,0.665
parse-server,1.779,1.122
arthas,3.203,1.232
mitmproxy,1.122,0.833
PaddleOCR,1.475,0.956
solid,1.956,1.026
lux,0.258,0.305
zx,0.127,0.268
COVID-19,0.417,0.459
RedisDesktopManager,0.171,0.285
JavaGuide,0.339,0.416
uBlock,0.009,0.055
react-use,0.248,0.308
cheat.sh,0.07,0.145
query,2.732,1.274
awesome-cheatsheets,0.048,0.13
tornado,1.939,1.042
vim-plug,0.45,0.447
leetcode-master,0.39,0.437
quasar,1.172,0.903
core,0.34,0.468
react,1.02,0.799
atom,0.123,0.239
standard,0.431,0.473
vuepress,0.153,0.234
react-beautiful-dnd,0.225,0.288
styled-components,5.248,1.751
composer,0.606,0.608
hub,0.239,0.262
tutorials,0.738,0.662
Font-Awesome,0.392,0.432
v,0.167,0.322
tldr,19.828,3.051
fairseq,109.211,4.564
Web-Dev-For-Beginners,23.755,2.515
remote-jobs,80.086,5.757
Chart.js,0.782,0.716
incubator-echarts,0.724,0.62
TypeScript,0.712,0.664
date-fns,0.578,0.539
drone,1.954,0.892
axios,12.111,2.643
tdesktop,0.442,0.458
vapor,1.555,0.905
lens,0.372,0.487
scrapy,2.53,1.267
xstate,1.405,1.004
